From Index,From X,From Y,From Z,To Index,To X,To Y,To Z,Weight,Tree,Descendants,Width
52,315.51115944972753,230.9183876020193,355.78405460809586,11,353.31477455768476,208.376638481866,372.70647526669853,47.155191544231975,B,31,6.183335362927189
11,353.31477455768476,208.376638481866,372.70647526669853,155,344.5134538297299,241.149904843683,404.13694824882424,46.25391730933791,B,30,6.103338308377363
133,311.9299438258918,243.68922834154014,306.1838686909169,145,287.090512091067,197.90210192782132,318.02039874767837,53.41873976349038,B,33,6.479655170004419
11,353.31477455768476,208.376638481866,372.70647526669853,57,395.21869922927664,246.13999938816303,327.24824118079476,72.44626543880997,B,30,6.827855388986242
57,395.21869922927664,246.13999938816303,327.24824118079476,55,446.69063778356303,241.10108501671877,337.48226032330973,52.72083330513986,B,26,6.084696257427428
55,446.69063778356303,241.10108501671877,337.48226032330973,111,456.68078453352666,265.3499861208494,380.18341117813424,50.111880040267856,B,25,5.9493590011221285
111,456.68078453352666,265.3499861208494,380.18341117813424,97,423.21577208792297,256.0531887789765,405.75398208577246,43.129938503814486,B,24,5.6721475565237345
111,456.68078453352666,265.3499861208494,380.18341117813424,50,508.40233696158936,302.07417505520897,368.29977633306726,64.53685625738417,B,24,6.273425746238038
50,508.40233696158936,302.07417505520897,368.29977633306726,151,516.792965529637,321.26639577435714,311.5297979766895,60.51094468344578,B,20,5.89815229498494
151,516.792965529637,321.26639577435714,311.5297979766895,170,445.56261540626696,335.2236530545829,319.4868201717685,73.01973713796339,B,15,5.752847757405522
170,445.56261540626696,335.2236530545829,319.4868201717685,4,418.85783489410227,349.2583644374068,320.67014632281166,30.191367749437923,B,1,2.34407064954787
97,423.21577208792297,256.0531887789765,405.75398208577246,127,488.66188345856597,236.0196594367995,451.5641686385824,82.35963200164095,B,2,3.5824991685558305
50,508.40233696158936,302.07417505520897,368.29977633306726,64,554.3572226885432,326.8865961362734,441.37680072498773,89.82070616544257,B,20,6.510309197037948
11,353.31477455768476,208.376638481866,372.70647526669853,23,357.51887264920583,198.24337018541155,465.13727509293454,93.07959133799831,B,30,7.269322401180136
23,357.51887264920583,198.24337018541155,465.13727509293454,114,367.1630359022208,192.280852677919,445.2454294864437,22.89644124117172,B,1,2.187469450227905
151,516.792965529637,321.26639577435714,311.5297979766895,78,529.4787076510605,331.68383688941344,219.47261959555675,93.50922534195554,B,15,6.11978873082978
78,529.4787076510605,331.68383688941344,219.47261959555675,101,523.1336603629708,295.81277727627975,184.2315392453287,50.68457642230343,B,12,4.966086351025409
101,523.1336603629708,295.81277727627975,184.2315392453287,108,521.5567645749092,268.9744119689871,199.12672587680456,30.735175897993372,B,11,4.288022909900386
108,521.5567645749092,268.9744119689871,199.12672587680456,71,546.4663202607904,201.20634819610981,251.71103060986212,89.32024146995934,B,9,5.324736234452343
